x	y	utr5_SF	utr3_SF	Sample
0	0.1370173859293	0.128385261538265	0.589407823962135	group1
0.00195694716242661	0.147820637810856	0.128385261538265	0.589407823962135	group1
0.00391389432485323	0.15871932755299	0.128385261538265	0.589407823962135	group1
0.00587084148727984	0.169651256976524	0.128385261538265	0.589407823962135	group1
0.00782778864970646	0.18055537092143	0.128385261538265	0.589407823962135	group1
0.00978473581213307	0.191346333412774	0.128385261538265	0.589407823962135	group1
0.0117416829745597	0.201965290427947	0.128385261538265	0.589407823962135	group1
0.0136986301369863	0.212371147597551	0.128385261538265	0.589407823962135	group1
0.0156555772994129	0.222523873536024	0.128385261538265	0.589407823962135	group1
0.0176125244618395	0.232389468103259	0.128385261538265	0.589407823962135	group1
0.0195694716242661	0.241940176667177	0.128385261538265	0.589407823962135	group1
0.0215264187866928	0.251154617806239	0.128385261538265	0.589407823962135	group1
0.0234833659491194	0.259944502556159	0.128385261538265	0.589407823962135	group1
0.025440313111546	0.268374251273292	0.128385261538265	0.589407823962135	group1
0.0273972602739726	0.276447856995919	0.128385261538265	0.589407823962135	group1
0.0293542074363992	0.2841724290921	0.128385261538265	0.589407823962135	group1
0.0313111545988258	0.291559160971245	0.128385261538265	0.589407823962135	group1
0.0332681017612524	0.298622777545892	0.128385261538265	0.589407823962135	group1
0.0352250489236791	0.30537001602529	0.128385261538265	0.589407823962135	group1
0.0371819960861057	0.311791674803784	0.128385261538265	0.589407823962135	group1
0.0391389432485323	0.317961835256627	0.128385261538265	0.589407823962135	group1
0.0410958904109589	0.323903228859811	0.128385261538265	0.589407823962135	group1
0.0430528375733855	0.329638420086746	0.128385261538265	0.589407823962135	group1
0.0450097847358121	0.335189462997285	0.128385261538265	0.589407823962135	group1
0.0469667318982387	0.340577592892647	0.128385261538265	0.589407823962135	group1
0.0489236790606654	0.345813160591747	0.128385261538265	0.589407823962135	group1
0.050880626223092	0.350915781106817	0.128385261538265	0.589407823962135	group1
0.0528375733855186	0.355918726006541	0.128385261538265	0.589407823962135	group1
0.0547945205479452	0.360835882676341	0.128385261538265	0.589407823962135	group1
0.0567514677103718	0.365679498460562	0.128385261538265	0.589407823962135	group1
0.0587084148727984	0.37046021821217	0.128385261538265	0.589407823962135	group1
0.0606653620352251	0.3751871379629	0.128385261538265	0.589407823962135	group1
0.0626223091976517	0.379863039465779	0.128385261538265	0.589407823962135	group1
0.0645792563600783	0.3844975807018	0.128385261538265	0.589407823962135	group1
0.0665362035225049	0.389098428663066	0.128385261538265	0.589407823962135	group1
0.0684931506849315	0.393668660850484	0.128385261538265	0.589407823962135	group1
0.0704500978473581	0.398210627254895	0.128385261538265	0.589407823962135	group1
0.0724070450097847	0.402726091301526	0.128385261538265	0.589407823962135	group1
0.0743639921722114	0.407216372341453	0.128385261538265	0.589407823962135	group1
0.076320939334638	0.411678629528449	0.128385261538265	0.589407823962135	group1
0.0782778864970646	0.416117319524779	0.128385261538265	0.589407823962135	group1
0.0802348336594912	0.420534641170525	0.128385261538265	0.589407823962135	group1
0.0821917808219178	0.424932273152571	0.128385261538265	0.589407823962135	group1
0.0841487279843444	0.429312405794519	0.128385261538265	0.589407823962135	group1
0.086105675146771	0.433677838598381	0.128385261538265	0.589407823962135	group1
0.0880626223091977	0.438032041326761	0.128385261538265	0.589407823962135	group1
0.0900195694716243	0.442379759870252	0.128385261538265	0.589407823962135	group1
0.0919765166340509	0.446729274789884	0.128385261538265	0.589407823962135	group1
0.0939334637964775	0.451087403516425	0.128385261538265	0.589407823962135	group1
0.0958904109589041	0.455461704787196	0.128385261538265	0.589407823962135	group1
0.0978473581213307	0.459860389157341	0.128385261538265	0.589407823962135	group1
0.0998043052837573	0.464292213042157	0.128385261538265	0.589407823962135	group1
0.101761252446184	0.468769018792136	0.128385261538265	0.589407823962135	group1
0.103718199608611	0.473309373980382	0.128385261538265	0.589407823962135	group1
0.105675146771037	0.477915605800505	0.128385261538265	0.589407823962135	group1
0.107632093933464	0.482596400293186	0.128385261538265	0.589407823962135	group1
0.10958904109589	0.487359744888271	0.128385261538265	0.589407823962135	group1
0.111545988258317	0.49221275141831	0.128385261538265	0.589407823962135	group1
0.113502935420744	0.497161489994977	0.128385261538265	0.589407823962135	group1
0.11545988258317	0.50222046198885	0.128385261538265	0.589407823962135	group1
0.117416829745597	0.507396015427726	0.128385261538265	0.589407823962135	group1
0.119373776908024	0.512676842358724	0.128385261538265	0.589407823962135	group1
0.12133072407045	0.518061894684977	0.128385261538265	0.589407823962135	group1
0.123287671232877	0.523548686172719	0.128385261538265	0.589407823962135	group1
0.125244618395303	0.529133371645428	0.128385261538265	0.589407823962135	group1
0.12720156555773	0.534810845179629	0.128385261538265	0.589407823962135	group1
0.129158512720157	0.540585134039556	0.128385261538265	0.589407823962135	group1
0.131115459882583	0.546440585118873	0.128385261538265	0.589407823962135	group1
0.13307240704501	0.552362534282874	0.128385261538265	0.589407823962135	group1
0.135029354207436	0.558342243177615	0.128385261538265	0.589407823962135	group1
0.136986301369863	0.564370835896027	0.128385261538265	0.589407823962135	group1
0.13894324853229	0.570439436639298	0.128385261538265	0.589407823962135	group1
0.140900195694716	0.576539296121189	0.128385261538265	0.589407823962135	group1
0.142857142857143	0.58266387706308	0.128385261538265	0.589407823962135	group1
0.144814090019569	0.588799767920179	0.128385261538265	0.589407823962135	group1
0.146771037181996	0.594939054648109	0.128385261538265	0.589407823962135	group1
0.148727984344423	0.601074863784189	0.128385261538265	0.589407823962135	group1
0.150684931506849	0.607200731824688	0.128385261538265	0.589407823962135	group1
