bases	meanCoverage	standardError	Sample	feature
-100	0.0372933343308147	0.00116008751360088	group1	Translation start site
-99	0.0373307398817985	0.00116064544574686	group1	Translation start site
-98	0.0375177676367173	0.00116343041827515	group1	Translation start site
-97	0.0377422009426199	0.00116676213030927	group1	Translation start site
-96	0.0378170120445874	0.00116787023029977	group1	Translation start site
-95	0.0378918231465549	0.0011689771008048	group1	Translation start site
-94	0.0380040397995062	0.00117063510890505	group1	Translation start site
-93	0.0379666342485225	0.00117008274531356	group1	Translation start site
-92	0.0380788509014738	0.00117173892092443	group1	Translation start site
-91	0.0381910675544251	0.00117339235749937	group1	Translation start site
-90	0.0382658786563926	0.00117449313257607	group1	Translation start site
-89	0.0384903119622952	0.00117778821852378	group1	Translation start site
-88	0.0384155008603277	0.00117669105970772	group1	Translation start site
-87	0.0383780953093439	0.00117614202974419	group1	Translation start site
-86	0.038527717513279	0.00117833634821533	group1	Translation start site
-85	0.0390888007780355	0.00118652261490244	group1	Translation start site
-84	0.0392010174309868	0.00118815191057599	group1	Translation start site
-83	0.0393506396349218	0.00119032022009096	group1	Translation start site
-82	0.0397246951447595	0.00119572072755069	group1	Translation start site
-81	0.0399117228996783	0.00119841021726575	group1	Translation start site
-80	0.0399865340016458	0.00119948401920312	group1	Translation start site
-79	0.0399865340016458	0.00119948401920312	group1	Translation start site
-78	0.0403231839604997	0.00120430212837974	group1	Translation start site
-77	0.0403979950624673	0.0012053697262608	group1	Translation start site
-76	0.0405102117154186	0.00120696902725462	group1	Translation start site
-75	0.040435400613451	0.00120590310566498	group1	Translation start site
-74	0.0406224283683699	0.00120856582212888	group1	Translation start site
-73	0.0405850228173861	0.00120803383501475	group1	Translation start site
-72	0.0408842672252562	0.00121228198641411	group1	Translation start site
-71	0.0411087005311588	0.00121545654761949	group1	Translation start site
-70	0.0408468616742725	0.00121175193313269	group1	Translation start site
-69	0.0409590783272238	0.00121334126890067	group1	Translation start site
-68	0.0409964838782075	0.00121387049882494	group1	Translation start site
-67	0.0410338894291913	0.00121439945501462	group1	Translation start site
-66	0.0409964838782075	0.00121387049882494	group1	Translation start site
-65	0.0411461060821426	0.00121598468474734	group1	Translation start site
-64	0.0411835116331264	0.00121651254956591	group1	Translation start site
-63	0.0412583227350939	0.00121756746369167	group1	Translation start site
-62	0.0413705393880452	0.00121914780139293	group1	Translation start site
-61	0.0413331338370614	0.00121862129282184	group1	Translation start site
-60	0.0412957282860777	0.00121809451370513	group1	Translation start site
-59	0.0412957282860777	0.00121809451370513	group1	Translation start site
-58	0.0413331338370614	0.00121862129282184	group1	Translation start site
-57	0.0413331338370614	0.00121862129282184	group1	Translation start site
-56	0.0411835116331264	0.00121651254956591	group1	Translation start site
-55	0.0412957282860777	0.00121809451370513	group1	Translation start site
-54	0.0412957282860777	0.00121809451370513	group1	Translation start site
-53	0.0412957282860777	0.00121809451370513	group1	Translation start site
-52	0.0413705393880452	0.00121914780139293	group1	Translation start site
-51	0.0413705393880452	0.00121914780139293	group1	Translation start site
-50	0.0415201615919802	0.00122125113721687	group1	Translation start site
-49	0.0413705393880452	0.00121914780139293	group1	Translation start site
-48	0.0417071893468991	0.00122387426153356	group1	Translation start site
-47	0.0418942171018179	0.00122763101710479	group1	Translation start site
-46	0.0416697837959153	0.00122449340504072	group1	Translation start site
-45	0.0418568115508341	0.00122710874551682	group1	Translation start site
-44	0.0419690282037854	0.00122867476648305	group1	Translation start site
-43	0.0419316226528017	0.00122815302398107	group1	Translation start site
-42	0.0421186504077205	0.00123075909946991	group1	Translation start site
-41	0.0422682726116556	0.00123283922926701	group1	Translation start site
-40	0.042193461509688	0.00123179968843532	group1	Translation start site
-39	0.0419316226528017	0.00122815302398107	group1	Translation start site
-38	0.0423056781626393	0.00123335860746102	group1	Translation start site
-37	0.0422308670606718	0.00123231958970203	group1	Translation start site
-36	0.042679733672477	0.00123853808625606	group1	Translation start site
-35	0.0429041669783796	0.00124163337925477	group1	Translation start site
-34	0.0429415725293634	0.00124214836405974	group1	Translation start site
-33	0.043315628039201	0.00124728420964355	group1	Translation start site
-32	0.0432782224882172	0.00124677176602098	group1	Translation start site
-31	0.0433904391411686	0.00124830834001501	group1	Translation start site
-30	0.04380190020199	0.00125392312123919	group1	Translation start site
-29	0.0440637390588763	0.00125748048846837	group1	Translation start site
-28	0.0442133612628114	0.00125839642205079	group1	Translation start site
-27	0.0446996334256004	0.0012649641061793	group1	Translation start site
-26	0.0448118500785517	0.00126647389703129	group1	Translation start site
-25	0.0451485000374056	0.00127099028520346	group1	Translation start site
-24	0.0454477444452757	0.00127498863039402	group1	Translation start site
-23	0.045709583302162	0.00127847477557641	group1	Translation start site
-22	0.0458217999551133	0.0012799653178217	group1	Translation start site
-21	0.0462706665669185	0.00128590654636848	group1	Translation start site
-20	0.0465699109747887	0.00128984891591379	group1	Translation start site
-19	0.0466073165257724	0.00129034068265726	group1	Translation start site
-18	0.0466073165257724	0.00129034068265726	group1	Translation start site
-17	0.0466447220767562	0.00129083222150637	group1	Translation start site
-16	0.0467195331787237	0.00129181461656197	group1	Translation start site
-15	0.0469813720356101	0.0012952458586724	group1	Translation start site
-14	0.0470561831375776	0.00129622418188076	group1	Translation start site
-13	0.0472058053415127	0.00129817813266447	group1	Translation start site
-12	0.0473928330964315	0.00130169091265551	group1	Translation start site
-11	0.0478416997082367	0.001307513252578	group1	Translation start site
-10	0.0479913219121718	0.00130944700052016	group1	Translation start site
-9	0.0478791052592205	0.00130799701760355	group1	Translation start site
