bins	meanCoverage	standardError	feature	Sample
60	0.231097376641698	0.00884580294948956	upstream	group1
61	0.235329683248799	0.00898496740498558	upstream	group1
62	0.232037889221054	0.00887019775460087	upstream	group1
63	0.231903530281146	0.00885567564878073	upstream	group1
64	0.231198145846629	0.00884297165738508	upstream	group1
65	0.231836350811192	0.00887304555992884	upstream	group1
66	0.231433273991468	0.0088720001836816	upstream	group1
67	0.237848913372074	0.00881441655262776	upstream	group1
68	0.250176346108629	0.00946666685771391	upstream	group1
69	0.251486345772732	0.00946663319642814	upstream	group1
70	0.25128480736287	0.00945763122026329	upstream	group1
71	0.251116858687985	0.00945688627377711	upstream	group1
72	0.249303012999227	0.00941150028725808	upstream	group1
73	0.247724295455309	0.00937091285989752	upstream	group1
74	0.249101474589366	0.00938105935385838	upstream	group1
75	0.250579422928353	0.00935142571004549	upstream	group1
76	0.255382755030063	0.00952694106985881	upstream	group1
77	0.254442242450707	0.00952778635679889	upstream	group1
78	0.255248396090155	0.00953061431585273	upstream	group1
79	0.25440865271573	0.0095134172677307	upstream	group1
80	0.254274293775822	0.00950974196232478	upstream	group1
81	0.264955829498505	0.0100167842468019	upstream	group1
82	0.268314802996204	0.0100565059296448	upstream	group1
83	0.270363776829801	0.0100900048791585	upstream	group1
84	0.273890699002385	0.0101923559590331	upstream	group1
85	0.278358133754325	0.0103248649400005	upstream	group1
86	0.279466595008565	0.0103559953367752	upstream	group1
87	0.281381209902254	0.0104525686819371	upstream	group1
88	0.285714285714286	0.0105358860332604	upstream	group1
89	0.288435054247422	0.0105894294743846	upstream	group1
90	0.292801719794431	0.0106320936480307	upstream	group1
91	0.297537872426187	0.0107455576661159	upstream	group1
92	0.301165563803702	0.0108616583601019	upstream	group1
93	0.300896845923886	0.0108560898259592	upstream	group1
94	0.301770179033287	0.0108571462897302	upstream	group1
95	0.304390178361493	0.0108809559561168	upstream	group1
96	0.306842229014813	0.0109152449051809	upstream	group1
97	0.312115817406201	0.0109776992955874	upstream	group1
98	0.317187867387726	0.0110789847912859	upstream	group1
99	0.32027812300561	0.0111656876702554	upstream	group1
100	0.324913506432434	0.0112454839165934	upstream	group1
1	0.123103772318432	0.00479884911474793	fiveUTRs	group1
2	0.107732581554571	0.00456520994368294	fiveUTRs	group1
3	0.110048328634716	0.00468767379532441	fiveUTRs	group1
