bins	meanCoverage	standardError	feature	Sample	id	num	meanCoverage2
1	0.000950046815022242	0.011695434680835	0.00479884911474793	fiveUTRs	group1	1	100	9.58873543490125e-05
2	0.00190009363004448	0.0102350995980044	0.00456520994368293	fiveUTRs	group1	1	100	8.39145058506898e-05
3	0.00285014044506672	0.0104551064117933	0.00468767379532441	fiveUTRs	group1	1	100	8.57182756026205e-05
4	0.00380018726008897	0.0107898993892981	0.00467197075353613	fiveUTRs	group1	1	100	8.84631426164281e-05
5	0.00475023407511121	0.010914251066657	0.00470489641959562	fiveUTRs	group1	1	100	8.94826646501281e-05
6	0.00570028089013345	0.0108728005075374	0.00464441261848858	fiveUTRs	group1	1	100	8.91428239722281e-05
7	0.00665032770515569	0.0112458555396142	0.00475061079822133	fiveUTRs	group1	1	100	9.2201390073328e-05
8	0.00760037452017793	0.0112299130168759	0.00485546336310763	fiveUTRs	group1	1	100	9.20706821202896e-05
9	0.00855042133520018	0.0113287566578535	0.00490251930272487	fiveUTRs	group1	1	100	9.2881071429128e-05
10	0.00950046815022242	0.0114499198306648	0.0049321711334416	fiveUTRs	group1	1	100	9.38744518722203e-05
11	0.0104505149652447	0.0113765842260685	0.00491621872653739	fiveUTRs	group1	1	100	9.32731952882434e-05
12	0.0114005617802669	0.011532820948904	0.00495037496098134	fiveUTRs	group1	1	100	9.45541332280203e-05
13	0.0123506085952891	0.0118197863581939	0.00502533723071201	fiveUTRs	group1	1	100	9.69068763827125e-05
14	0.0133006554103114	0.0117910898172649	0.00499151578475316	fiveUTRs	group1	1	100	9.66716020672433e-05
15	0.0142507022253336	0.0121577678402464	0.00509912801347109	fiveUTRs	group1	1	100	9.96778849871278e-05
16	0.0152007490403559	0.0122789310130576	0.0050900878939475	fiveUTRs	group1	1	100	0.00010067126543022
17	0.0161507958553781	0.0125180688541325	0.00512530968522923	fiveUTRs	group1	1	100	0.000102631884725797
18	0.0171008426704004	0.0126647400633251	0.0051827672490328	fiveUTRs	group1	1	100	0.000103834397893751
19	0.0180508894854226	0.0125627079177998	0.00502435107332506	fiveUTRs	group1	1	100	0.000102997866994305
20	0.0190009363004448	0.0125148803495848	0.00509082784009912	fiveUTRs	group1	1	100	0.000102605743135189
21	0.0199509831154671	0.0126360435223961	0.00507530910142835	fiveUTRs	group1	1	100	0.000103599123578282
22	0.0209010299304893	0.0125308228723232	0.00504187930245498	fiveUTRs	group1	1	100	0.000102736451088228
23	0.0218510767455116	0.0125722734314428	0.00503154317155366	fiveUTRs	group1	1	100	0.000103076291766128
24	0.0228011235605338	0.0126009699723718	0.00506752657278773	fiveUTRs	group1	1	100	0.000103311566081597
25	0.023751170375556	0.0126998136133494	0.00510216676364872	fiveUTRs	group1	1	100	0.000104121955390435
26	0.0247012171905783	0.0129580824817103	0.0051928840017627	fiveUTRs	group1	1	100	0.000106239424229658
27	0.0256512640056005	0.0130027215453776	0.00525435986216675	fiveUTRs	group1	1	100	0.000106605406498166
28	0.0266013108206228	0.0128719928589233	0.00520959654442016	fiveUTRs	group1	1	100	0.000105533601283251
29	0.027551357635645	0.0130664916363309	0.00527602219933234	fiveUTRs	group1	1	100	0.00010712823831032
30	0.0285014044506673	0.0130983766818075	0.00526290206657942	fiveUTRs	group1	1	100	0.000107389654216397
31	0.0294514512656895	0.0130537376181402	0.00526138799834258	fiveUTRs	group1	1	100	0.000107023671947889
32	0.0304014980807117	0.0130186640681159	0.0052414417392354	fiveUTRs	group1	1	100	0.000106736114451205
33	0.031351544895734	0.0133024409728581	0.00532759242793408	fiveUTRs	group1	1	100	0.000109062716015289
34	0.0323015917107562	0.0136181029230769	0.00537002115803259	fiveUTRs	group1	1	100	0.000111650733485451
35	0.0332516385257785	0.0137552086186265	0.00536126814314516	fiveUTRs	group1	1	100	0.000112774821881581
36	0.0342016853408007	0.0137488316095312	0.00540881141935527	fiveUTRs	group1	1	100	0.000112722538700366
37	0.0351517321558229	0.0140007234687967	0.00545938160438197	fiveUTRs	group1	1	100	0.000114787724358374
38	0.0361017789708452	0.0142239187871332	0.00552574592921422	fiveUTRs	group1	1	100	0.000116617635700912
39	0.0370518257858674	0.0140230430006303	0.00548048261505749	fiveUTRs	group1	1	100	0.000114970715492627
40	0.0380018726008897	0.0139273878642004	0.00545068432558473	fiveUTRs	group1	1	100	0.000114186467774397
41	0.0389519194159119	0.0141856567325613	0.00548642514432238	fiveUTRs	group1	1	100	0.00011630393661362
42	0.0399019662309342	0.0141633372007276	0.00549658766853247	fiveUTRs	group1	1	100	0.000116120945479366
43	0.0408520130459564	0.0143482704644922	0.00561163969676227	fiveUTRs	group1	1	100	0.000117637157734612
44	0.0418020598609786	0.0144758106463988	0.00563246318168722	fiveUTRs	group1	1	100	0.00011868282135892
45	0.0427521066760009	0.0148424886693802	0.00574488459072728	fiveUTRs	group1	1	100	0.000121689104278804
46	0.0437021534910231	0.0150369874467878	0.00581676761293256	fiveUTRs	group1	1	100	0.000123283741305873
47	0.0446522003060454	0.0151103230513841	0.00574071817158802	fiveUTRs	group1	1	100	0.00012388499788985
48	0.0456022471210676	0.0150816265104551	0.00577025693511036	fiveUTRs	group1	1	100	0.000123649723574381
49	0.0465522939360898	0.0156396148062965	0.00595834287117734	fiveUTRs	group1	1	100	0.000128224501930727
50	0.0475023407511121	0.0156619343381301	0.00597766007086193	fiveUTRs	group1	1	100	0.000128407493064981
51	0.0484523875661343	0.0158468676018947	0.00602446972374504	fiveUTRs	group1	1	100	0.000129923705320227
