bases	meanCoverage	standardError	feature	Sample
-6	0.0222615333586506	0.000232756393915951	5PSS	group1
-5	0.0223528676566023	0.000233379837177884	5PSS	group1
-4	0.0224490090228672	0.000233802838418672	5PSS	group1
-3	0.02248265850106	0.000233967970329035	5PSS	group1
-2	0.0225547645257587	0.000234370696522195	5PSS	group1
-1	0.0226605200286501	0.00023481408785937	5PSS	group1
0	0.022648502357867	0.000234755361290241	5PSS	group1
1	0.0226148528796743	0.00023461546533445	5PSS	group1
2	0.0226148528796743	0.00023461546533445	5PSS	group1
3	0.0226148528796743	0.000234541584014726	5PSS	group1
4	0.0225956246064213	0.000234447495515408	5PSS	group1
5	0.022571589264855	0.000234329826432214	5PSS	group1
6	0.0225499574574454	0.000234223868645912	5PSS	group1
7	0.0225643786623852	0.000234220530468524	5PSS	group1
8	0.0225884140039514	0.000234338256210471	5PSS	group1
9	0.0225523609916021	0.000234161643178731	5PSS	group1
10	0.0225523609916021	0.000234161643178731	5PSS	group1
11	0.0225187115134093	0.00023399667203548	5PSS	group1
12	0.0225163079792527	0.000234009571771925	5PSS	group1
13	0.0224994832401563	0.000233927042342526	5PSS	group1
14	0.0224562196253371	0.000233714676623276	5PSS	group1
15	0.0224369913520841	0.000233620223712908	5PSS	group1
16	0.0224129560105179	0.000233427864788148	5PSS	group1
17	0.0224081489422046	0.000233404224342832	5PSS	group1
18	0.0223937277372649	0.00023333328720773	5PSS	group1
19	0.0223889206689516	0.000233309636226975	5PSS	group1
20	0.022367288861542	0.000233203174183209	5PSS	group1
21	0.0223576747249155	0.000233155840567084	5PSS	group1
22	0.022348060588289	0.000233108496386632	5PSS	group1
23	0.0223384464516625	0.000233061141635415	5PSS	group1
24	0.0223240252467228	0.000232990089674306	5PSS	group1
25	0.0223456570541324	0.000233096658690088	5PSS	group1
26	0.0223168146442529	0.000232929754655574	5PSS	group1
27	0.0223120075759397	0.000232906058881687	5PSS	group1
28	0.0222999899051565	0.000232846807853476	5PSS	group1
29	0.0222951828368433	0.000232872723091329	5PSS	group1
30	0.0222927793026867	0.000232860872097203	5PSS	group1
31	0.0222615333586506	0.000232706748822307	5PSS	group1
32	0.0222663404269638	0.000232730467395033	5PSS	group1
33	0.0222591298244939	0.000232694888539825	5PSS	group1
34	0.0222399015512409	0.000232599982359703	5PSS	group1
35	0.0221966379364217	0.00023238628775834	5PSS	group1
36	0.0222086556072048	0.00023234623543833	5PSS	group1
37	0.0221701990606989	0.00023215607529538	5PSS	group1
38	0.022143760184976	0.000231975439338087	5PSS	group1
39	0.0221389531166627	0.000231951637452847	5PSS	group1
40	0.0221365495825061	0.000231889915573255	5PSS	group1
41	0.022143760184976	0.000231925627076417	5PSS	group1
42	0.0220884788993736	0.000231601802514472	5PSS	group1
43	0.0220812682969038	0.000231541088105164	5PSS	group1
44	0.0220644435578074	0.000231382712863606	5PSS	group1
45	0.0220115658063617	0.000231070032350731	5PSS	group1
46	0.0219899339989521	0.000230962453017306	5PSS	group1
47	0.021939459781663	0.000230661135258916	5PSS	group1
48	0.0219298456450365	0.000230613237017817	5PSS	group1
49	0.0218793714277474	0.000230361592034896	5PSS	group1
50	0.0218553360861811	0.000230241655074407	5PSS	group1
51	0.0218577396203377	0.000230253651853155	5PSS	group1
52	0.021843318415398	0.00023018166089697	5PSS	group1
53	0.0218337042787715	0.000230108549076897	5PSS	group1
54	0.0218361078129281	0.000230145656159691	5PSS	group1
55	0.0218216866079884	0.000230073628152267	5PSS	group1
56	0.0218168795396751	0.000230049613322088	5PSS	group1
57	0.0218096689372053	0.000230013585922888	5PSS	group1
58	0.021804861868892	0.000229989564219547	5PSS	group1
59	0.021785633595639	0.000229893449889822	5PSS	group1
60	0.021785633595639	0.000229943702378545	5PSS	group1
61	0.0217423699808198	0.000229727331271366	5PSS	group1
62	0.0217279487758801	0.000229680311601627	5PSS	group1
63	0.0217183346392536	0.000229632187489359	5PSS	group1
64	0.0216870886952174	0.000229475707738605	5PSS	group1
65	0.0216846851610608	0.000229463665991207	5PSS	group1
66	0.0216534392170247	0.00022930706022035	5PSS	group1
67	0.0216270003413019	0.000229174456060851	5PSS	group1
68	0.0215909473289525	0.000228993496634431	5PSS	group1
69	0.021562104919073	0.000228848616238161	5PSS	group1
70	0.0215284554408803	0.000228679462046869	5PSS	group1
71	0.0215140342359405	0.000228531101634761	5PSS	group1
72	0.0215068236334707	0.000228494811837501	5PSS	group1
73	0.0214803847577478	0.000228336396279608	5PSS	group1
74	0.0214659635528081	0.000228263743349283	5PSS	group1
75	0.0214707706211213	0.000228287963805117	5PSS	group1
76	0.0214611564844948	0.000228138253266895	5PSS	group1
77	0.0214299105404587	0.000227980663403821	5PSS	group1
78	0.0214251034721454	0.000227981749339831	5PSS	group1
79	0.0213722257206997	0.00022748634616963	5PSS	group1
80	0.0213145409009407	0.000227194428520296	5PSS	group1
81	0.0212953126276878	0.000227097031424321	5PSS	group1
82	0.0212905055593745	0.000227072675011336	5PSS	group1
83	0.0212664702178083	0.000226950850066497	5PSS	group1
84	0.0212520490128685	0.000226877720762502	5PSS	group1
85	0.0212256101371457	0.000226794533817249	5PSS	group1
86	0.0211559076466036	0.000226440562048463	5PSS	group1
87	0.0211607147149168	0.000226439482456987	5PSS	group1
88	0.0211559076466036	0.000226415048440181	5PSS	group1
89	0.0211486970441337	0.000226378392010068	5PSS	group1
90	0.0211631182490734	0.000226451698384758	5PSS	group1
91	0.0211583111807602	0.000226427265808833	5PSS	group1
92	0.0211535041124469	0.000226377312490121	5PSS	group1
93	0.0211607147149168	0.000226516006404297	5PSS	group1
94	0.0211583111807602	0.000226503793883518	5PSS	group1
95	0.0211895571247963	0.000226662500550816	5PSS	group1
96	0.0212183995346758	0.000226910751350016	5PSS	group1
97	0.0212352242737722	0.000226996059946645	5PSS	group1
98	0.0212256101371457	0.000226947316470829	5PSS	group1
99	0.0212280136713023	0.000226959503412974	5PSS	group1
100	0.0212592596153384	0.000227117868588867	5PSS	group1
101	0.0212736808202781	0.000227190919492836	5PSS	group1
-101	0.0243961408275576	0.000239499524077261	3PSS	group1
-100	0.0243961408275576	0.000239455244156876	3PSS	group1
-99	0.0244099564806926	0.000239518419849885	3PSS	group1
-98	0.0244122590895485	0.000239506811116685	3PSS	group1
-97	0.024419166916116	0.000239538393404861	3PSS	group1
-96	0.0244260747426835	0.000239569971070935	3PSS	group1
-95	0.024432982569251	0.000239601544116731	3PSS	group1
-94	0.0244375877869626	0.000239622590248011	3PSS	group1
-93	0.0244398903958185	0.000239633112544078	3PSS	group1
-92	0.0244421930046743	0.000239621508704957	3PSS	group1
-91	0.0244306799603951	0.000239591020281383	3PSS	group1
-90	0.0244306799603951	0.000239591020281383	3PSS	group1
-89	0.0244398903958185	0.000239566726631755	3PSS	group1
-88	0.0244421930046743	0.000239599381039553	3PSS	group1
-87	0.0244560086578093	0.000239662512624856	3PSS	group1
-86	0.0244790347463676	0.000239789803054696	3PSS	group1
-85	0.0244836399640793	0.000239810830627759	3PSS	group1
-84	0.0244836399640793	0.000239810830627759	3PSS	group1
-83	0.0244859425729351	0.000239887659096799	3PSS	group1
-82	0.0244813373552235	0.00023986663836059	3PSS	group1
-81	0.024488245181791	0.000239898168697853	3PSS	group1
-80	0.0245089686614935	0.000239992732107841	3PSS	group1
-79	0.0245412051854751	0.000240139748544964	3PSS	group1
-78	0.0245412051854751	0.000240139748544964	3PSS	group1
-77	0.0245365999677635	0.000240162909904352	3PSS	group1
-76	0.0245504156208985	0.000240225880891875	3PSS	group1
-75	0.0245527182297543	0.000240236374273846	3PSS	group1
