bins	meanCoverage	standardError	feature	Sample
48	0.0739947098804701	0.00559049353506962	upstream	group1
49	0.0784143034117923	0.00575782703605439	upstream	group1
50	0.0809589178692202	0.00591437101006958	upstream	group1
51	0.139083269159942	0.00781755025578099	upstream	group1
52	0.140087722235243	0.00785172218030542	upstream	group1
53	0.140288612850303	0.00786629486814959	upstream	group1
54	0.139284159775003	0.00778394518530736	upstream	group1
55	0.14012120400442	0.00779704132339886	upstream	group1
56	0.139217196236649	0.007397332181366	upstream	group1
57	0.137677034854522	0.00721525731619022	upstream	group1
58	0.138380152007232	0.00728093063184773	upstream	group1
59	0.138815415006529	0.00730731969309947	upstream	group1
60	0.139016305621589	0.00730105245688011	upstream	group1
61	0.138547560853115	0.00727782089669068	upstream	group1
62	0.140087722235243	0.00733132083542728	upstream	group1
63	0.14032209461948	0.00727506461452954	upstream	group1
64	0.140589948772893	0.0072599282982042	upstream	group1
65	0.142096628385844	0.00731226346235595	upstream	group1
66	0.143402417383735	0.00734758319987901	upstream	group1
67	0.148525128067767	0.0072932432693916	upstream	group1
68	0.156929052131115	0.00780314105856389	upstream	group1
69	0.156594234439348	0.00779445398666044	upstream	group1
70	0.156326380285934	0.00779118143808435	upstream	group1
71	0.156594234439348	0.00779646732882506	upstream	group1
72	0.155958080824991	0.00778243059131466	upstream	group1
73	0.158904476512539	0.00786113759429262	upstream	group1
74	0.160578564971373	0.0078984145275204	upstream	group1
75	0.159908929587839	0.00786202425634189	upstream	group1
76	0.157498242207118	0.0077708677486917	upstream	group1
77	0.157364315130412	0.00776518590780642	upstream	group1
78	0.155087554826397	0.00770803914032353	upstream	group1
79	0.153045166906619	0.00767815092153344	upstream	group1
80	0.152375531523086	0.00766807772193001	upstream	group1
81	0.15334650282921	0.00768108820809195	upstream	group1
82	0.153781765828506	0.00769647122333617	upstream	group1
83	0.155790671979107	0.00777656253446776	upstream	group1
84	0.155422372518164	0.00776360789170877	upstream	group1
85	0.155121036595574	0.00774465352082234	upstream	group1
86	0.154417919442863	0.00773665177429463	upstream	group1
87	0.15445140121204	0.00773670184769199	upstream	group1
88	0.155422372518164	0.00775464991229742	upstream	group1
89	0.155924599055814	0.00776810680511855	upstream	group1
90	0.155288445441457	0.00775199252120611	upstream	group1
91	0.156092007901698	0.00777095220044209	upstream	group1
92	0.156795125054408	0.00778309184127285	upstream	group1
93	0.157096460976998	0.00779188583529037	upstream	group1
94	0.158603140589949	0.0078137813280668	upstream	group1
95	0.160277229048783	0.00786612115394017	upstream	group1
96	0.161348645662437	0.00789085963211624	upstream	group1
97	0.163223624736331	0.0079275583107104	upstream	group1
98	0.166471356346469	0.00800950966581311	upstream	group1
99	0.169216861418957	0.00805657338706243	upstream	group1
100	0.171292731107912	0.00805997406259688	upstream	group1
1	0.0296107724258056	0.00237517045272245	fiveUTRs	group1
2	0.0254237288135593	0.00213848412479609	fiveUTRs	group1
3	0.0261606484893147	0.00215126547482134	fiveUTRs	group1
4	0.0265291083271923	0.00216385603194635	fiveUTRs	group1
5	0.0278019695853152	0.00227061722871488	fiveUTRs	group1
6	0.030247203054867	0.00269263630030998	fiveUTRs	group1
7	0.0300462249614792	0.00258904213666328	fiveUTRs	group1
8	0.0298787432169893	0.00229529571380843	fiveUTRs	group1
9	0.0297782541702954	0.00225763386136337	fiveUTRs	group1
10	0.0304481811482548	0.00229528946692431	fiveUTRs	group1
11	0.032558451128827	0.00237056691580093	fiveUTRs	group1
12	0.0340322904803376	0.00241907605278358	fiveUTRs	group1
13	0.0357071079252362	0.00256900471224229	fiveUTRs	group1
14	0.0361425604609098	0.00253649302284993	fiveUTRs	group1
15	0.0366785020432773	0.00251312495747879	fiveUTRs	group1
16	0.0378173779058083	0.0025254768988669	fiveUTRs	group1
17	0.0388892610705433	0.00255848195578623	fiveUTRs	group1
18	0.0412675018422992	0.00264034671404994	fiveUTRs	group1
19	0.0422723923092383	0.00276966019783628	fiveUTRs	group1
20	0.0441816841964226	0.00285387467586232	fiveUTRs	group1
21	0.0465264286192805	0.00295274354421955	fiveUTRs	group1
22	0.0477657935285054	0.00298327285566968	fiveUTRs	group1
23	0.0492061365311181	0.00305405055448879	fiveUTRs	group1
24	0.0510819320694044	0.00312314454292489	fiveUTRs	group1
25	0.0517183626984659	0.0031430289708217	fiveUTRs	group1
26	0.0532926910966705	0.00316970186411282	fiveUTRs	group1
27	0.0537281436323441	0.00317210962709113	fiveUTRs	group1
28	0.0529577276076908	0.00306222474426082	fiveUTRs	group1
29	0.0563408588463858	0.00319632047715757	fiveUTRs	group1
30	0.0581831580357741	0.00326761211973219	fiveUTRs	group1
31	0.0599584645273665	0.00335549338361396	fiveUTRs	group1
32	0.0606953842031219	0.00337738231065128	fiveUTRs	group1
33	0.0614323038788772	0.00341263209844453	fiveUTRs	group1
34	0.0615327929255711	0.00337571153089234	fiveUTRs	group1
35	0.0623367052991224	0.00337355483495635	fiveUTRs	group1
36	0.0612983184832853	0.00330073323414553	fiveUTRs	group1
37	0.0618007637167549	0.00332801157612534	fiveUTRs	group1
38	0.0612648221343874	0.00330194362533954	fiveUTRs	group1
39	0.0617672673678569	0.00331164030821633	fiveUTRs	group1
40	0.0631406176726737	0.00343632910875023	fiveUTRs	group1
41	0.0629061432303879	0.00370619691043261	fiveUTRs	group1
42	0.0608293695987137	0.00328500933007086	fiveUTRs	group1
43	0.0623367052991224	0.00331686926171357	fiveUTRs	group1
44	0.0613988075299792	0.00324046135370126	fiveUTRs	group1
45	0.0626716687881021	0.0033244297298061	fiveUTRs	group1
46	0.0618677564145508	0.00325398476907785	fiveUTRs	group1
47	0.0636095665572453	0.00329331108307251	fiveUTRs	group1
48	0.0633750921149595	0.00336241146231333	fiveUTRs	group1
49	0.0647149460708783	0.00339477105790199	fiveUTRs	group1
50	0.0649494205131641	0.00341225888684156	fiveUTRs	group1
51	0.0659878073290011	0.00343927049536901	fiveUTRs	group1
52	0.0670931868426342	0.00376517967842648	fiveUTRs	group1
53	0.0686005225430428	0.00386501306726381	fiveUTRs	group1
54	0.0687010115897367	0.00381130870752509	fiveUTRs	group1
55	0.0656863401889194	0.00348338698434358	fiveUTRs	group1
56	0.0666242379580626	0.0035033483348102	fiveUTRs	group1
57	0.0671601795404301	0.00350492685813169	fiveUTRs	group1
58	0.0666912306558585	0.00347468368838152	fiveUTRs	group1
59	0.0677296174716956	0.00350119642292026	fiveUTRs	group1
60	0.0681985663562672	0.00351336882523574	fiveUTRs	group1
61	0.0687010115897367	0.00356550874607471	fiveUTRs	group1
62	0.068399544449655	0.00354439858245482	fiveUTRs	group1
63	0.0687010115897367	0.00347950419060863	fiveUTRs	group1
64	0.0673946539827159	0.00331812246178595	fiveUTRs	group1
65	0.0677966101694915	0.00330327423789816	fiveUTRs	group1
66	0.068366048100757	0.00333415677119469	fiveUTRs	group1
67	0.0709787633147987	0.00342236077863356	fiveUTRs	group1
