bins	meanCoverage	standardError	feature	Sample	id	num	meanCoverage2
1	0.00119178085592523	0.00352895517062339	0.00237517045272245	fiveUTRs	group1	1	100	8.42915939114381e-05
2	0.00238356171185047	0.00302995132862347	0.00213848412479609	fiveUTRs	group1	1	100	7.23725336864044e-05
3	0.0035753425677757	0.00311777600481546	0.00215126547482134	fiveUTRs	group1	1	100	7.44702882860103e-05
4	0.00476712342370093	0.00316168834291145	0.00216385603194635	fiveUTRs	group1	1	100	7.55191655858133e-05
5	0.00595890427962617	0.00331338551087942	0.00227061722871488	fiveUTRs	group1	1	100	7.91425598942235e-05
6	0.0071506851355514	0.00360480375460737	0.00269263630030998	fiveUTRs	group1	1	100	8.61032910656432e-05
7	0.00834246599147663	0.00358085157019138	0.00258904213666328	fiveUTRs	group1	1	100	8.55311761748416e-05
8	0.00953424684740186	0.00356089141651138	0.00229529571380843	fiveUTRs	group1	1	100	8.50544137658402e-05
9	0.0107260277033271	0.00354891532430338	0.00225763386136337	fiveUTRs	group1	1	100	8.47683563204394e-05
10	0.0119178085592523	0.00362875593902337	0.00229528946692431	fiveUTRs	group1	1	100	8.66754059564448e-05
11	0.0131095894151776	0.00388025387539133	0.00237056691580093	fiveUTRs	group1	1	100	9.26826123098618e-05
12	0.0143013702711028	0.0040559032277753	0.00241907605278358	fiveUTRs	group1	1	100	9.68781215090736e-05
13	0.015493151127028	0.00425550476457526	0.00256900471224229	fiveUTRs	group1	1	100	0.000101645745599087
14	0.0166849319829533	0.00430740116414325	0.00253649302284993	fiveUTRs	group1	1	100	0.000102885327862491
15	0.0178767128388785	0.00437127365591924	0.00251312495747879	fiveUTRs	group1	1	100	0.000104410967571295
16	0.0190684936948037	0.00450700270094322	0.0025254768988669	fiveUTRs	group1	1	100	0.000107652951952504
17	0.020260274550729	0.00463474768449519	0.00255848195578623	fiveUTRs	group1	1	100	0.000110704231370113
18	0.0214520554066542	0.00491818186675115	0.00264034671404993	fiveUTRs	group1	1	100	0.000117474257577932
19	0.0226438362625794	0.00503794278883112	0.00276966019783628	fiveUTRs	group1	1	100	0.00012033483203194
20	0.0238356171185047	0.00526548854078309	0.00285387467586232	fiveUTRs	group1	1	100	0.000125769923494555
21	0.0250273979744299	0.00554493069230304	0.00295274354421955	fiveUTRs	group1	1	100	0.000132444597220574
22	0.0262191788303551	0.00569263582953501	0.00298327285566968	fiveUTRs	group1	1	100	0.000135972639047184
23	0.0274109596862804	0.00586429315118298	0.00305405055448879	fiveUTRs	group1	1	100	0.000140072795764596
24	0.0286027405422056	0.00608784687239894	0.00312314454292489	fiveUTRs	group1	1	100	0.000145412534745411
25	0.0297945213981308	0.00616369545638293	0.0031430289708217	fiveUTRs	group1	1	100	0.000147224231899616
26	0.0309863022540561	0.0063513209009749	0.00316970186411282	fiveUTRs	group1	1	100	0.000151705798544228
27	0.0321780831099813	0.00640321730054289	0.00317210962709113	fiveUTRs	group1	1	100	0.000152945380807632
28	0.0333698639659065	0.0063114005936149	0.00306222474426082	fiveUTRs	group1	1	100	0.000150752273726226
29	0.0345616448218318	0.00671459569795083	0.00319632047715757	fiveUTRs	group1	1	100	0.000160382874388053
30	0.035753425677757	0.0069341573884308	0.00326761211973219	fiveUTRs	group1	1	100	0.000165627260887068
31	0.0369452065336822	0.00714573501743876	0.00335549338361396	fiveUTRs	group1	1	100	0.000170680942422482
32	0.0381369873896075	0.00723355969363074	0.00337738231065128	fiveUTRs	group1	1	100	0.000172778697022088
33	0.0393287682455327	0.00732138436982273	0.00341263209844453	fiveUTRs	group1	1	100	0.000174876451621694
34	0.0405205491014579	0.00733336046203073	0.00337571153089234	fiveUTRs	group1	1	100	0.000175162509067095
35	0.0417123299573832	0.00742916919969471	0.00337355483495635	fiveUTRs	group1	1	100	0.000177450968630301
36	0.0429041108133084	0.00730541624687873	0.00330073323414553	fiveUTRs	group1	1	100	0.000174495041694493
37	0.0440958916692336	0.00736529670791872	0.00332801157612534	fiveUTRs	group1	1	100	0.000175925328921497
38	0.0452876725251589	0.00730142421614273	0.00330194362533954	fiveUTRs	group1	1	100	0.000174399689212693
39	0.0464794533810841	0.00736130467718272	0.00331164030821633	fiveUTRs	group1	1	100	0.000175829976439697
40	0.0476712342370093	0.00752497793735869	0.00343632910875023	fiveUTRs	group1	1	100	0.000179739428193508
41	0.0488630150929346	0.0074970337222067	0.00370619691043261	fiveUTRs	group1	1	100	0.000179071960820906
42	0.0500547959488598	0.00724952781657474	0.00328500933007086	fiveUTRs	group1	1	100	0.000173160106949289
43	0.051246576804785	0.00742916919969471	0.00331686926171357	fiveUTRs	group1	1	100	0.000177450968630301
44	0.0524383576607102	0.00731739233908673	0.00324046135370126	fiveUTRs	group1	1	100	0.000174781099139894
45	0.0536301385166355	0.0074690895070547	0.0033244297298061	fiveUTRs	group1	1	100	0.000178404493448304
46	0.0548219193725607	0.00737328076939072	0.00325398476907785	fiveUTRs	group1	1	100	0.000176116033885097
47	0.0560137002284859	0.00758086636766268	0.00329331108307251	fiveUTRs	group1	1	100	0.000181074362938711
48	0.0572054810844112	0.00755292215251069	0.00336241146231333	fiveUTRs	group1	1	100	0.00018040689556611
49	0.0583972619403364	0.00771260338195066	0.00339477105790199	fiveUTRs	group1	1	100	0.00018422099483812
50	0.0595890427962616	0.00774054759710266	0.00341225888684156	fiveUTRs	group1	1	100	0.000184888462210722
51	0.0607808236521869	0.00786430054991863	0.00343927049536901	fiveUTRs	group1	1	100	0.000187844389146531
