bases	meanCoverage	standardError	feature	Sample
-38	0.012580425672214	0.000141710371438947	5PSS	group1
-37	0.0125012323451407	0.00014126941608013	5PSS	group1
-36	0.0124624437767783	0.000141052908784706	5PSS	group1
-35	0.0124139580663252	0.000140781782144828	5PSS	group1
-34	0.0123072895033285	0.000140183362321243	5PSS	group1
-33	0.0123153704550707	0.000140228791151387	5PSS	group1
-32	0.0122959761708895	0.000140138376447978	5PSS	group1
-31	0.0122297123666037	0.000139765146014204	5PSS	group1
-30	0.0120891038062899	0.000138969679929579	5PSS	group1
-29	0.0121020333290774	0.000139043025825948	5PSS	group1
-28	0.0121020333290774	0.000139043025825948	5PSS	group1
-27	0.0120212238116556	0.00013858394512367	5PSS	group1
-26	0.0120066780985197	0.000138501140901806	5PSS	group1
-25	0.0119695057205057	0.00013828929362125	5PSS	group1
-24	0.0119274847714464	0.000138049403140711	5PSS	group1
-23	0.0118579885864638	0.000137651698242206	5PSS	group1
-22	0.0117981895435717	0.000137308519511818	5PSS	group1
-21	0.0118014219242686	0.000137327092714887	5PSS	group1
-20	0.0117852600207842	0.000137234200332188	5PSS	group1
-19	0.0117012181226656	0.000136750093002744	5PSS	group1
-18	0.0116688943156969	0.000136563418662999	5PSS	group1
-17	0.0115719228947909	0.000136001783794148	5PSS	group1
-16	0.0114814162352785	0.000135475389368887	5PSS	group1
-15	0.011420001002038	0.000135116969421913	5PSS	group1
-14	0.0113892933854178	0.00013493738549532	5PSS	group1
-13	0.0113246457714804	0.000134558493625188	5PSS	group1
-12	0.0112438362540587	0.000134083302325041	5PSS	group1
-11	0.0112050476856962	0.000133854583289282	5PSS	group1
-10	0.0111210057875776	0.000133357617123722	5PSS	group1
-9	0.0110498934122465	0.000132935589122032	5PSS	group1
-8	0.0110208019859747	0.000132762536894505	5PSS	group1
-7	0.0109464572299467	0.000132319217114169	5PSS	group1
-6	0.0108947391387968	0.000132009902773086	5PSS	group1
-5	0.0108785772353125	0.000131913086579666	5PSS	group1
-4	0.0108106972406782	0.000131505645165514	5PSS	group1
-3	0.0107670601012705	0.000131243020639555	5PSS	group1
-2	0.0107153420101206	0.000130931049368444	5PSS	group1
-1	0.0107088772487268	0.000130891998355805	5PSS	group1
0	0.0106539267768801	0.000130559572266887	5PSS	group1
1	0.010605441066427	0.000130265519531405	5PSS	group1
2	0.0106086734471239	0.000130285144602056	5PSS	group1
3	0.010605441066427	0.000130265519531405	5PSS	group1
4	0.0106102896374723	0.000130294955980306	5PSS	group1
5	0.0106135220181692	0.000130314576423523	5PSS	group1
6	0.0106135220181692	0.000130314576423523	5PSS	group1
7	0.010619986779563	0.000130353808061709	5PSS	group1
8	0.0106102896374723	0.000130294955980306	5PSS	group1
9	0.0106135220181692	0.000130314576423523	5PSS	group1
10	0.0106102896374723	0.000130294955980306	5PSS	group1
11	0.0105763496401552	0.000130088754826384	5PSS	group1
12	0.0105585715463224	0.000129980608431701	5PSS	group1
13	0.0105521067849287	0.000129941259179518	5PSS	group1
14	0.0105262477393538	0.000129783737662998	5PSS	group1
15	0.0105246315490053	0.000129773885943201	5PSS	group1
16	0.0105391772621412	0.000129862523345465	5PSS	group1
17	0.0105359448814444	0.00012984283160168	5PSS	group1
18	0.0105327125007475	0.000129823136740954	5PSS	group1
19	0.0105537229752771	0.000129951097658321	5PSS	group1
20	0.0105521067849287	0.000129941259179518	5PSS	group1
21	0.0105634201173677	0.000130010112214237	5PSS	group1
22	0.0105521067849287	0.000129941259179518	5PSS	group1
23	0.0105553391656256	0.000129960935359836	5PSS	group1
24	0.0105343286910959	0.000129832984561023	5PSS	group1
25	0.0105424096428381	0.000129882211973725	5PSS	group1
26	0.0105327125007475	0.000129823136740954	5PSS	group1
27	0.0105262477393538	0.000129783737662998	5PSS	group1
28	0.0105149344069147	0.000129714759228158	5PSS	group1
29	0.0105117020262178	0.000129695044072676	5PSS	group1
30	0.01051978297796	0.000129744326100233	5PSS	group1
31	0.0105310963103991	0.000129813288141294	5PSS	group1
32	0.0105149344069147	0.000129714759228158	5PSS	group1
33	0.0105052372648241	0.000129655604377456	5PSS	group1
34	0.0105036210744757	0.000129645742497556	5PSS	group1
35	0.0105003886937788	0.000129626016389195	5PSS	group1
36	0.0104923077420366	0.000129576687409998	5PSS	group1
37	0.0104809944095976	0.000129507593904126	5PSS	group1
38	0.0104696810771585	0.000129438461918419	5PSS	group1
39	0.0104745296482038	0.000129468094628063	5PSS	group1
40	0.0104616001254164	0.00012938905833538	5PSS	group1
41	0.0104616001254164	0.00012938905833538	5PSS	group1
42	0.0104632163157648	0.000129398940626192	5PSS	group1
43	0.0104616001254164	0.00012938905833538	5PSS	group1
44	0.0104422058412352	0.000129270409371877	5PSS	group1
45	0.0104260439377508	0.000129171448389205	5PSS	group1
46	0.0104195791763571	0.000129131841845734	5PSS	group1
47	0.0104163467956602	0.000129112033821661	5PSS	group1
48	0.0104163467956602	0.000129112033821661	5PSS	group1
49	0.0104114982246149	0.000129082315841027	5PSS	group1
50	0.0104066496535696	0.000129052590722583	5PSS	group1
51	0.0103921039404337	0.00012896337249103	5PSS	group1
52	0.0103775582272978	0.000128874089841244	5PSS	group1
53	0.0103775582272978	0.000128874089841244	5PSS	group1
54	0.0103694772755556	0.000128824460484804	5PSS	group1
55	0.0103759420369493	0.000128864165564573	5PSS	group1
56	0.0103807906079946	0.000128893936003947	5PSS	group1
57	0.0103533153720713	0.000128725141909198	5PSS	group1
58	0.0103387696589354	0.000128635686821176	5PSS	group1
59	0.0103306887071932	0.000128585961510427	5PSS	group1
60	0.0103306887071932	0.000128585961510427	5PSS	group1
61	0.0103129106133604	0.000128476495190713	5PSS	group1
62	0.0102935163291792	0.000128356966376696	5PSS	group1
63	0.0102773544256948	0.000128257270318123	5PSS	group1
64	0.0103015972809214	0.000128406784146296	5PSS	group1
65	0.0102999810905729	0.000128376476822192	5PSS	group1
66	0.0103161429940573	0.000128476075777554	5PSS	group1
67	0.0103145268037088	0.000128466119504725	5PSS	group1
68	0.0103080620423151	0.000128426286366069	5PSS	group1
69	0.0102983649002245	0.000128366512495467	5PSS	group1
70	0.0102902839484823	0.000128316678761771	5PSS	group1
71	0.0102757382353464	0.00012820655481825	5PSS	group1
72	0.0102789706160433	0.000128226508446545	5PSS	group1
73	0.010274122044998	0.000128196576790049	5PSS	group1
74	0.0102595763318621	0.000128106738080549	5PSS	group1
75	0.0102644249029074	0.000128136691612162	5PSS	group1
76	0.0102628087125589	0.000128126707912635	5PSS	group1
77	0.0102676572836042	0.000128156656579134	5PSS	group1
78	0.0102660410932558	0.000128146674500932	5PSS	group1
79	0.0102595763318621	0.000128106738080549	5PSS	group1
80	0.0102708896643011	0.000128176618304592	5PSS	group1
81	0.0102644249029074	0.000128136691612162	5PSS	group1
82	0.0102563439511652	0.00012808676500316	5PSS	group1
83	0.0102563439511652	0.00012808676500316	5PSS	group1
84	0.0102401820476808	0.000127986850883446	5PSS	group1
85	0.010236949666984	0.000127966858302296	5PSS	group1
86	0.0102337172862871	0.000127946862465189	5PSS	group1
87	0.0102353334766355	0.000127956860790832	5PSS	group1
88	0.0102337172862871	0.000127946862465189	5PSS	group1
89	0.0102337172862871	0.000127946862465189	5PSS	group1
90	0.010236949666984	0.000127966858302296	5PSS	group1
91	0.0102321010959387	0.000127936863325172	5PSS	group1
92	0.0102207877634996	0.000127866846526612	5PSS	group1
93	0.0102272525248934	0.000127906861016987	5PSS	group1
94	0.0102224039538481	0.000127876851372578	5PSS	group1
95	0.0102272525248934	0.000127906861016987	5PSS	group1
96	0.0102240201441965	0.000127886855402836	5PSS	group1
97	0.0102207877634996	0.000127866846526612	5PSS	group1
98	0.0102143230021059	0.000127826818981816	5PSS	group1
99	0.0102030096696669	0.000127756739329312	5PSS	group1
100	0.0102143230021059	0.000127826818981816	5PSS	group1
101	0.010211090621409	0.000127806800310177	5PSS	group1
-101	0.00969212702481442	0.00012134335323921	3PSS	group1
-100	0.00969519318331642	0.000121362345532312	3PSS	group1
-99	0.00968752778706143	0.000121314859001829	3PSS	group1
-98	0.00969825934181842	0.000121381334734987	3PSS	group1
-97	0.00969979242106941	0.000121390828177867	3PSS	group1
-96	0.00970745781732441	0.000121438283814945	3PSS	group1
-95	0.0097135901343284	0.00012147623444267	3PSS	group1
-94	0.00971205705507741	0.000121466747941843	3PSS	group1
-93	0.0097181893720814	0.000121504689323255	3PSS	group1
-92	0.0097166562928304	0.000121495205133195	3PSS	group1
-91	0.0097151232135794	0.00012148572017306	3PSS	group1
-90	0.0097151232135794	0.00012148572017306	3PSS	group1
-89	0.0097212555305834	0.000121523655393871	3PSS	group1
-88	0.0097166562928304	0.000121495205133195	3PSS	group1
-87	0.00970592473807341	0.00012142879423057	3PSS	group1
-86	0.00967526315305343	0.000121238840320843	3PSS	group1
-85	0.00968752778706143	0.000121314859001829	3PSS	group1
-84	0.00968752778706143	0.000121314859001829	3PSS	group1
-83	0.00969979242106941	0.000121390828177867	3PSS	group1
-82	0.00970899089657541	0.000121447772628162	3PSS	group1
-81	0.00970899089657541	0.000121447772628162	3PSS	group1
-80	0.00971052397582641	0.000121457260670401	3PSS	group1
-79	0.00971205705507741	0.000121466747941843	3PSS	group1
-78	0.00970132550032041	0.000121400320848685	3PSS	group1
-77	0.00970285857957141	0.000121409812747621	3PSS	group1
-76	0.00970592473807341	0.00012142879423057	3PSS	group1
-75	0.00970745781732441	0.000121438283814945	3PSS	group1
-74	0.00972738784758739	0.000121561578302133	3PSS	group1
-73	0.00972892092683839	0.000121571057106713	3PSS	group1
-72	0.00973198708534039	0.000121590012410149	3PSS	group1
-71	0.00974731787785038	0.000121684742859544	3PSS	group1
-70	0.00974271864009738	0.000121656331780939	3PSS	group1
-69	0.00975345019485437	0.00012172261356777	3PSS	group1
-68	0.00977951254212135	0.000121883427526275	3PSS	group1
-67	0.00975498327410537	0.000121732079329962	3PSS	group1
-66	0.00975345019485437	0.00012172261356777	3PSS	group1
-65	0.00975191711560337	0.000121713147039811	3PSS	group1
-64	0.00976264867036036	0.000121779396660669	3PSS	group1
-63	0.00976264867036036	0.000121779396660669	3PSS	group1
-62	0.00977338022511736	0.000121845608811396	3PSS	group1
-61	0.00977031406661536	0.000121826694873965	3PSS	group1
-60	0.00976878098736436	0.000121817236759629	3PSS	group1
-59	0.00976878098736436	0.000121817236759629	3PSS	group1
-58	0.00976878098736436	0.000121817236759629	3PSS	group1
-57	0.00976724790811336	0.00012180777788131	3PSS	group1
-56	0.00977644638361935	0.000121864519695026	3PSS	group1
-55	0.00978104562137235	0.000121892880297701	3PSS	group1
-54	0.00978257870062335	0.000121902332306565	3PSS	group1
-53	0.00977644638361935	0.000121864519695026	3PSS	group1
-52	0.00979637641388234	0.000121987366100275	3PSS	group1
-51	0.00979177717612934	0.000121959028355866	3PSS	group1
-50	0.00979944257238434	0.000122006254125626	3PSS	group1
-49	0.00980710796863933	0.000122053460884419	3PSS	group1
-48	0.00981324028564333	0.000122091212618375	3PSS	group1
-47	0.00981783952339632	0.000122119518450278	3PSS	group1
-46	0.00983776955365931	0.000122242098250271	3PSS	group1
-45	0.0098439018706633	0.000122279789388393	3PSS	group1
-44	0.00983930263291031	0.000122251522168433	3PSS	group1
-43	0.00983623647440831	0.000122232673576063	3PSS	group1
-42	0.0098423687914123	0.00012227036773732	3PSS	group1
-41	0.00987303037643228	0.000122458657441577	3PSS	group1
-40	0.00987303037643228	0.000122458657441577	3PSS	group1
-39	0.00987149729718128	0.000122449250112308	3PSS	group1
-38	0.00986843113867928	0.000122430433196951	3PSS	group1
-37	0.00986229882167529	0.000122392790334106	3PSS	group1
-36	0.00989602656519726	0.000122599677232516	3PSS	group1
-35	0.00989602656519726	0.000122599677232516	3PSS	group1
-34	0.00989909272369926	0.000122618467117953	3PSS	group1
-33	0.00988989424819327	0.000122562088466869	3PSS	group1
-32	0.00989449348594626	0.00012259028116571	3PSS	group1
-31	0.00991595659546025	0.000122721757963728	3PSS	group1
-30	0.00993282046722123	0.000122824958396381	3PSS	group1
-29	0.00993435354647223	0.000122834335778476	3PSS	group1
-28	0.00994968433898222	0.000122928068643621	3PSS	group1
-27	0.00995275049748422	0.000122946806289691	3PSS	group1
-26	0.00996194897299021	0.000123003001398468	3PSS	group1
-25	0.0099696143692452	0.000123049810246434	3PSS	group1
-24	0.0099726805277472	0.000123068528595651	3PSS	group1
-23	0.0099742136069982	0.0001230778866588	3PSS	group1
-22	0.00999107747875919	0.000123180776501219	3PSS	group1
-21	0.00998647824100619	0.000123152724511254	3PSS	group1
-20	0.00998187900325319	0.000123124665866705	3PSS	group1
-19	0.00998187900325319	0.000123124665866705	3PSS	group1
-18	0.00998187900325319	0.000123124665866705	3PSS	group1
-17	0.00998341208250419	0.000123134019487901	3PSS	group1
-16	0.0099803459240022	0.000123115311505606	3PSS	group1
-15	0.00998801132025719	0.00012316207591375	3PSS	group1
-14	0.00999107747875919	0.000123180776501219	3PSS	group1
-13	0.00999261055801019	0.000123190125686531	3PSS	group1
-12	0.0100202059845282	0.000123358284862867	3PSS	group1
-11	0.0100294044600342	0.000123414284902471	3PSS	group1
-10	0.0100324706185362	0.000123432945702906	3PSS	group1
-9	0.0100416690940421	0.000123488910484564	3PSS	group1
-8	0.0100401360147911	0.000123479584855363	3PSS	group1
-7	0.0100401360147911	0.000123479584855363	3PSS	group1
-6	0.0100186729052772	0.000123348948948929	3PSS	group1
-5	0.0100386029355401	0.000123470258492621	3PSS	group1
-4	0.0100370698562892	0.000123441892848513	3PSS	group1
-3	0.0100524006487991	0.000123535145185404	3PSS	group1
-2	0.0100508675695481	0.0001235258232509	3PSS	group1
-1	0.0100661983620581	0.000123619009651358	3PSS	group1
0	0.0101382530868551	0.000124056009204364	3PSS	group1
1	0.0100799960753171	0.000123702814901924	3PSS	group1
2	0.0100891945508231	0.00012375865223094	3PSS	group1
3	0.0100248052222812	0.000123367238124193	3PSS	group1
4	0.0100524006487991	0.000123535145185404	3PSS	group1
5	0.0100125405882732	0.000123292536325371	3PSS	group1
6	0.0100125405882732	0.000123292536325371	3PSS	group1
7	0.0100110075090222	0.000123283195286331	3PSS	group1
8	0.0100033421127672	0.000123236479032118	3PSS	group1
9	0.00999107747875919	0.000123161694646741	3PSS	group1
10	0.00995888281448821	0.000122965160317624	3PSS	group1
11	0.00995121741823322	0.000122918318207905	3PSS	group1
12	0.00991748967471124	0.000122711991780999	3PSS	group1
13	0.00993282046722123	0.000122805821254069	3PSS	group1
14	0.00990982427845625	0.000122665049028251	3PSS	group1
15	0.00994355202197822	0.000122871457507503	3PSS	group1
16	0.0099803459240022	0.000123096219503023	3PSS	group1
17	0.00995428357673522	0.000122937057281485	3PSS	group1
18	0.00990215888220126	0.000122618087569427	3PSS	group1
19	0.00987456345568328	0.000122448871098625	3PSS	group1
20	0.00987303037643228	0.000122439463046876	3PSS	group1
21	0.0098500341876673	0.000122298251887018	3PSS	group1
22	0.00981783952339632	0.000122100270742294	3PSS	group1
23	0.00970745781732441	0.000121418928115566	3PSS	group1
24	0.00976418174961136	0.000121769557857614	3PSS	group1
25	0.00975651635335637	0.000121722236850261	3PSS	group1
26	0.00975191711560337	0.000121693835058101	3PSS	group1
27	0.00976111559110937	0.000121750631750538	3PSS	group1
28	0.00974578479859938	0.00012165595527284	3PSS	group1
29	0.00973352016459139	0.000121580158874023	3PSS	group1
30	0.00974731787785038	0.000121665426369233	3PSS	group1
31	0.0097166562928304	0.000121475858503536	3PSS	group1
32	0.00964766772653546	0.000121048201833736	3PSS	group1
33	0.00961853922076648	0.000120867163240884	3PSS	group1
34	0.00961240690376248	0.000120829013917332	3PSS	group1
35	0.00964460156803346	0.000121029158398334	3PSS	group1
36	0.00961087382451148	0.000120819474629725	3PSS	group1
37	0.00962160537926848	0.000120905674187268	3PSS	group1
38	0.0095909437942485	0.000120714864277681	3PSS	group1
39	0.00959860919050349	0.000120762596138446	3PSS	group1
40	0.00956948068473452	0.000120581110574013	3PSS	group1
41	0.00962313845851947	0.000120915206465789	3PSS	group1
42	0.00964766772653546	0.000121067616803037	3PSS	group1
43	0.00960934074526049	0.000120829387813356	3PSS	group1
44	0.00957101376398552	0.000120590669524098	3PSS	group1
45	0.00952348830720455	0.000120293974936435	3PSS	group1
46	0.00950355827694157	0.00012016932804414	3PSS	group1
47	0.00951888906945156	0.000120265222184804	3PSS	group1
48	0.00955414989222453	0.000120485477717556	3PSS	group1
49	0.00951428983169856	0.000120236462287671	3PSS	group1
50	0.0094590989786626	0.000119890784299798	3PSS	group1
51	0.00942077199738763	0.000119650119603	3PSS	group1
52	0.00943763586914862	0.000119756073971538	3PSS	group1
53	0.0094636982164156	0.00011991963034478	3PSS	group1
54	0.00938551117461466	0.00011942826310022	3PSS	group1
55	0.00937171346135567	0.000119341333069275	3PSS	group1
56	0.00935791574809668	0.000119254337223605	3PSS	group1
57	0.00935484958959468	0.000119234995861165	3PSS	group1
58	0.0093364526385827	0.00011911887919591	3PSS	group1
59	0.00941157352188164	0.000119592285208727	3PSS	group1
60	0.00942537123514063	0.000119679025913097	3PSS	group1
61	0.00941157352188164	0.000119592285208727	3PSS	group1
62	0.0094682974541686	0.000119948469182304	3PSS	group1
63	0.0094590989786626	0.000119890784299798	3PSS	group1
64	0.00947289669192159	0.000119977300817568	3PSS	group1
65	0.00941004044263064	0.000119582643318173	3PSS	group1
66	0.00938551117461466	0.00011942826310022	3PSS	group1
67	0.00938091193686166	0.00011939929372711	3PSS	group1
68	0.00936251498584968	0.000119283343160462	3PSS	group1
69	0.00929965873655873	0.000118886292538025	3PSS	group1
70	0.0093395187970847	0.000119138240135043	3PSS	group1
71	0.0093333864800807	0.000119099514988426	3PSS	group1
72	0.00932418800457471	0.000119041402739922	3PSS	group1
73	0.00932572108382571	0.000119051090160217	3PSS	group1
74	0.00931652260831972	0.000118992953354183	3PSS	group1
75	0.00928892718180174	0.000118818365710823	3PSS	group1
76	0.00935178343109269	0.000119215651239913	3PSS	group1
77	0.0093318534008297	0.000119089831658555	3PSS	group1
78	0.00934871727259069	0.000119196303358264	3PSS	group1
79	0.00936251498584968	0.000119283343160462	3PSS	group1
80	0.00936711422360267	0.000119312341773906	3PSS	group1
81	0.00937324654060667	0.000119350995209081	3PSS	group1
82	0.00949589288068657	0.000120121351141444	3PSS	group1
83	0.00957254684323651	0.000120600227686648	3PSS	group1
84	0.00957714608098951	0.000120628897450968	3PSS	group1
85	0.00960627458675849	0.000120810308394828	3PSS	group1
86	0.00960167534900549	0.000120781683392224	3PSS	group1
87	0.0095909437942485	0.000120714864277681	3PSS	group1
88	0.00961087382451148	0.000120838926348214	3PSS	group1
89	0.00967219699455144	0.000121200437317771	3PSS	group1
90	0.00973352016459139	0.000121580158874023	3PSS	group1
91	0.00975038403635238	0.000121684366261685	3PSS	group1
92	0.00983010415740431	0.000122175731493597	3PSS	group1
93	0.00986536498017728	0.000122392411498865	3PSS	group1
94	0.00993282046722123	0.000122805821254069	3PSS	group1
95	0.00998801132025719	0.000123142991161487	3PSS	group1
96	0.00999107747875919	0.000123161694646741	3PSS	group1
97	0.0100140736675242	0.000123301876627535	3PSS	group1
98	0.0100340036977872	0.000123423233575995	3PSS	group1
99	0.0100891945508231	0.00012375865223094	3PSS	group1
100	0.0101167899773411	0.000123926006985987	3PSS	group1
