bases	meanCoverage	standardError	Sample	feature
-25	0.0204330175913396	0.000737001564393274	group1	Translation start site
-24	0.0205142083897158	0.000738429891211708	group1	Translation start site
-23	0.0204059539918809	0.00073652478608714	group1	Translation start site
-22	0.0207036535859269	0.000741751022491503	group1	Translation start site
-21	0.0206495263870095	0.000740803780933036	group1	Translation start site
-20	0.0208119079837618	0.000743641565985425	group1	Translation start site
-19	0.0208389715832206	0.000744113384753956	group1	Translation start site
-18	0.0209201623815968	0.00074552688993806	group1	Translation start site
-17	0.0209201623815968	0.00074552688993806	group1	Translation start site
-16	0.0210825439783491	0.000748345175492248	group1	Translation start site
-15	0.0213531799729364	0.000753016772796272	group1	Translation start site
-14	0.02148849797023	0.000755340752644645	group1	Translation start site
-13	0.021786197564276	0.000760426214205322	group1	Translation start site
-12	0.021894451962111	0.000762266281032199	group1	Translation start site
-11	0.0221109607577808	0.00076593191087125	group1	Translation start site
-10	0.0221109607577808	0.00076593191087125	group1	Translation start site
-9	0.0223274695534506	0.000769578432419136	group1	Translation start site
-8	0.0224357239512855	0.000771394612322183	group1	Translation start site
-7	0.0228416779431664	0.000778163905876109	group1	Translation start site
-6	0.0230040595399188	0.000779915006160342	group1	Translation start site
-5	0.0232476319350474	0.000783935357085913	group1	Translation start site
-4	0.023382949932341	0.000786159119080362	group1	Translation start site
-3	0.023680649526387	0.000791027185250437	group1	Translation start site
-2	0.0238700947225981	0.000794107935317938	group1	Translation start site
-1	0.0238971583220568	0.000794546967557934	group1	Translation start site
0	0.0238430311231394	0.000793668635242956	group1	Translation start site
1	0.0237347767253045	0.000791908747674425	group1	Translation start site
2	0.0238159675236806	0.000793229066887996	group1	Translation start site
3	0.0240324763193505	0.000796738126720297	group1	Translation start site
4	0.0241948579161028	0.000799358771110792	group1	Translation start site
5	0.0241948579161028	0.000799358771110792	group1	Translation start site
6	0.024276048714479	0.00080066554248508	group1	Translation start site
7	0.0243031123139378	0.000801100609758117	group1	Translation start site
8	0.0243572395128552	0.000801969962081427	group1	Translation start site
9	0.0242489851150203	0.000800230213904172	group1	Translation start site
10	0.0243031123139378	0.000801100609758117	group1	Translation start site
11	0.0244113667117727	0.000802838274264059	group1	Translation start site
12	0.0244925575101488	0.000804138799643791	group1	Translation start site
13	0.0242219215155616	0.000799794623588702	group1	Translation start site
14	0.0241136671177267	0.000798049636405762	group1	Translation start site
15	0.0241136671177267	0.000798049636405762	group1	Translation start site
16	0.0247361299052774	0.000808026491905471	group1	Translation start site
17	0.0247902571041949	0.000808887616469625	group1	Translation start site
18	0.0248173207036536	0.000809317798418809	group1	Translation start site
19	0.0249255751014885	0.000811036000074326	group1	Translation start site
20	0.024979702300406	0.000811893590829878	group1	Translation start site
21	0.0252232746955345	0.00081574038929139	group1	Translation start site
22	0.0254668470906631	0.000819567173142609	group1	Translation start site
23	0.0254939106901218	0.000819991148064846	group1	Translation start site
24	0.0255480378890392	0.000820838368493114	group1	Translation start site
25	0.0257374830852503	0.000823796020471241	group1	Translation start site
26	0.0259539918809202	0.000827161806709885	group1	Translation start site
27	0.025872801082544	0.000825901424292371	group1	Translation start site
28	0.0258457374830852	0.000825480821145597	group1	Translation start site
29	0.025872801082544	0.000825901424292371	group1	Translation start site
30	0.0257374830852503	0.000823796020471241	group1	Translation start site
31	0.025872801082544	0.000825901424292371	group1	Translation start site
32	0.0260622462787551	0.000828839000376616	group1	Translation start site
33	0.0261434370771313	0.000830094421022413	group1	Translation start site
34	0.0264140730717185	0.000834263968049457	group1	Translation start site
35	0.0263328822733424	0.000833015545170546	group1	Translation start site
36	0.026468200270636	0.000835095094434933	group1	Translation start site
37	0.0266847090663058	0.000838410415230773	group1	Translation start site
38	0.0267117726657645	0.000838823802662453	group1	Translation start site
39	0.0267388362652233	0.000839236962849496	group1	Translation start site
40	0.0266576454668471	0.000837996800218153	group1	Translation start site
41	0.026765899864682	0.000839649896127357	group1	Translation start site
42	0.0267388362652233	0.000839236962849496	group1	Translation start site
43	0.0269824086603518	0.000842945233597358	group1	Translation start site
44	0.0271718538565629	0.000845816891747072	group1	Translation start site
45	0.0269282814614344	0.000842122749381303	group1	Translation start site
46	0.0270906630581867	0.000844587517508701	group1	Translation start site
47	0.0271447902571042	0.000845407322418924	group1	Translation start site
48	0.0273342354533153	0.000848269664193747	group1	Translation start site
49	0.0274695534506089	0.000850307595491782	group1	Translation start site
